;;;;Flash;Total;Discovery;Utility
Utility measure;Privacy model;Suppression limit;Dataset;Value;Value;Value;Value
AECS;(5)-anonymity;0.0;ADULT;37.0;1858.0;0.0;-1.0
AECS;(5)-anonymity;0.0;CUP;42.0;2183.0;0.0;-1.0
AECS;(5)-anonymity;0.0;FARS;75.0;3800.0;0.0;-1.0
AECS;(5)-anonymity;0.0;ATUS;309.0;26152.0;0.0;-1.0
AECS;(5)-anonymity;0.0;IHIS;2419.0;129802.0;0.0;-1.0
AECS;(5)-anonymity;1.0;ADULT;1288.0;1849.0;61.0;0.0
AECS;(5)-anonymity;1.0;CUP;27757.0;30653.0;10792.0;0.0
AECS;(5)-anonymity;1.0;FARS;3350.0;3934.0;2709.0;0.0
AECS;(5)-anonymity;1.0;ATUS;16748.0;25770.0;634.0;0.0
AECS;(5)-anonymity;1.0;IHIS;69004.0;189986.0;1458.0;0.0
AECS;(0.01)-uniqueness;0.0;ADULT;83.0;115.0;80.0;0.0
AECS;(0.01)-uniqueness;0.0;CUP;4934.0;1485.0;1574.0;7.325347555098347E-8
AECS;(0.01)-uniqueness;0.0;FARS;2267.0;912.0;714.0;1.6762791067255826E-5
AECS;(0.01)-uniqueness;0.0;ATUS;152.0;65.0;65.0;0.0
AECS;(0.01)-uniqueness;0.0;IHIS;611.0;188.0;193.0;0.0
AECS;(0.01)-uniqueness;1.0;ADULT;10102.0;10969.0;78.0;0.0
AECS;(0.01)-uniqueness;1.0;CUP;112498.0;114746.0;108370.0;0.0
AECS;(0.01)-uniqueness;1.0;FARS;43127.0;43884.0;22420.0;-1.344667294849045E-6
AECS;(0.01)-uniqueness;1.0;ATUS;208666.0;223621.0;65.0;0.0
AECS;(0.01)-uniqueness;1.0;IHIS;845340.0;971617.0;189.0;0.0
Loss;(5)-anonymity;0.0;ADULT;28.0;2122.0;0.0;-1.0
Loss;(5)-anonymity;0.0;CUP;43.0;1286.0;0.0;-1.0
Loss;(5)-anonymity;0.0;FARS;75.0;5070.0;0.0;-1.0
Loss;(5)-anonymity;0.0;ATUS;311.0;39979.0;0.0;-1.0
Loss;(5)-anonymity;0.0;IHIS;2465.0;138897.0;0.0;-1.0
Loss;(5)-anonymity;1.0;ADULT;1587.0;2117.0;55.0;0.0
Loss;(5)-anonymity;1.0;CUP;35196.0;38189.0;4535.0;0.0
Loss;(5)-anonymity;1.0;FARS;4084.0;5030.0;131.0;0.0
Loss;(5)-anonymity;1.0;ATUS;19726.0;40957.0;311.0;0.0
Loss;(5)-anonymity;1.0;IHIS;77411.0;176229.0;1984.0;0.0
Loss;(0.01)-uniqueness;0.0;ADULT;223.0;196.0;63.0;0.0
Loss;(0.01)-uniqueness;0.0;CUP;22218.0;2589.0;2251.0;0.03335793712650126
Loss;(0.01)-uniqueness;0.0;FARS;2714.0;1508.0;691.0;0.005547045549911282
Loss;(0.01)-uniqueness;0.0;ATUS;252.0;110.0;0.0;0.0
Loss;(0.01)-uniqueness;0.0;IHIS;1471.0;579.0;0.0;0.0
Loss;(0.01)-uniqueness;1.0;ADULT;16164.0;17445.0;62.0;0.0
Loss;(0.01)-uniqueness;1.0;CUP;295905.0;295768.0;228831.0;0.0
Loss;(0.01)-uniqueness;1.0;FARS;56102.0;59382.0;2760.0;0.0
Loss;(0.01)-uniqueness;1.0;ATUS;262207.0;270003.0;0.0;0.0
Loss;(0.01)-uniqueness;1.0;IHIS;992388.0;1258376.0;0.0;0.0
